time,bit,reading
0.0002903938293457031,0,2966
0.0006566047668457031,1,2963
0.0014853477478027344,1,2967
0.0018284320831298828,0,2940
0.0024116039276123047,0,2928
0.002775430679321289,1,2925
0.003531932830810547,1,2963
0.003927469253540039,1,2941
0.00449681282043457,1,2959
0.005523204803466797,1,2939
0.0060198307037353516,1,2963
0.006468057632446289,0,2966
0.007405281066894531,1,2967
0.007691383361816406,1,2969
0.00800943374633789,1,2963
0.008940458297729492,1,2941
0.009493827819824219,0,2936
0.010510444641113281,0,2966
0.01092219352722168,0,2944
0.011479616165161133,0,2932
0.012411355972290039,0,2926
0.012696027755737305,1,2963
0.01293039321899414,0,2952
0.013504266738891602,0,2962
0.014497756958007812,1,2961
0.014912128448486328,1,2969
0.015479326248168945,1,2963
0.016478300094604492,1,2939
0.01682877540588379,1,2963
0.017045021057128906,1,2939
0.01793694496154785,1,2963
0.018504858016967773,0,2936
0.019498586654663086,0,2926
0.01990962028503418,1,2951
0.020490646362304688,1,2965
0.02149176597595215,0,2952
0.021828651428222656,0,2964
0.022239208221435547,1,2965
0.02260136604309082,1,2965
0.023512840270996094,1,2963
0.02391195297241211,0,2944
0.024919509887695312,0,2960
0.025487899780273438,1,2937
0.026479244232177734,1,2963
0.02675604820251465,0,2942
0.02710413932800293,0,2936
0.0275118350982666,1,2955
0.028522253036499023,1,2965
0.028912782669067383,1,2953
0.029496192932128906,0,2962
0.030480146408081055,1,2965
0.03089761734008789,1,2937
0.03140401840209961,0,2966
0.03162741661071777,0,2942
0.03258943557739258,1,2961
0.03292512893676758,1,2941
0.033921003341674805,1,2961
0.03451275825500488,1,2941
0.035488128662109375,1,2925
0.035901546478271484,1,2957
0.036401987075805664,0,2966
0.03660273551940918,1,2973
0.03751230239868164,0,2966
0.037926673889160156,0,2940
0.03850293159484863,1,2935
0.03951239585876465,1,2967
0.039983510971069336,0,2946
0.04047513008117676,1,2933
0.04140329360961914,1,2927
0.041608333587646484,1,2957
0.04193544387817383,1,2951
0.04292869567871094,0,2960
0.04350018501281738,1,2969
0.04452180862426758,1,2965
0.04490065574645996,1,2969
0.04548025131225586,0,2964
0.046402931213378906,0,2944
0.0466153621673584,1,2929
0.04692697525024414,0,2968
0.047509193420410156,1,2939
0.04849433898925781,1,2931
0.04890322685241699,1,2961
0.04990792274475098,1,2961
0.050481319427490234,1,2949
0.051409006118774414,1,2959
0.051613569259643555,0,2966
0.05179715156555176,1,2965
0.05249619483947754,0,2962
0.05349230766296387,0,2962
0.05390119552612305,0,2968
0.0545198917388916,1,2945
0.055472373962402344,0,2932
0.05583548545837402,0,2960
0.05611610412597656,0,2962
0.05654287338256836,1,2961
0.05750155448913574,1,2961
0.057915449142456055,1,2949
0.0589146614074707,0,2962
0.05948805809020996,1,2965
0.06048727035522461,0,2944
0.06083273887634277,0,2966
0.061126708984375,1,2967
0.06150698661804199,0,2944
0.06251239776611328,0,2928
0.0629265308380127,1,2925
0.06350398063659668,0,2920
0.06449055671691895,0,2914
0.06490087509155273,1,2953
0.06543207168579102,0,2964
0.06573891639709473,1,2963
0.06652450561523438,0,2962
0.06694769859313965,1,2965
0.06794238090515137,1,2939
0.0684974193572998,0,2960
0.06948375701904297,1,2937
0.06991052627563477,1,2923
0.07040977478027344,1,2925
0.07066845893859863,1,2923
0.07151412963867188,1,2941
0.07194352149963379,1,2963
0.07252168655395508,1,2957
0.07349228858947754,1,2963
0.07390689849853516,1,2965
0.07489919662475586,0,2962
0.07540464401245117,1,2959
0.07560324668884277,0,2948
0.07651329040527344,1,2963
0.07671451568603516,0,2940
0.07750654220581055,1,2935
0.07856106758117676,0,2956
0.07890939712524414,0,2936
0.07948112487792969,0,2946
0.08040428161621094,1,2955
0.0805978775024414,0,2966
0.08095264434814453,1,2971
0.08150935173034668,0,2964
0.08258342742919922,0,2970
0.08294105529785156,0,2964
0.0839078426361084,0,2942
0.08448195457458496,1,2931
0.08541083335876465,1,2965
0.08569645881652832,0,2936
0.08592915534973145,1,2955
0.0865168571472168,0,2936
0.08750462532043457,1,2947
0.08791637420654297,1,2959
0.08855366706848145,0,2966
0.08947944641113281,1,2965
0.08982968330383301,0,2966
0.09011030197143555,1,2965
0.09086251258850098,1,2965
0.0915079116821289,1,2945
0.09192013740539551,0,2932
0.09290766716003418,1,2967
0.09348940849304199,0,2942
0.09448480606079102,0,2960
0.09483528137207031,1,2939
0.09506535530090332,1,2963
0.0955195426940918,0,2960
0.09650802612304688,0,2964
0.09692049026489258,0,2960
0.09749627113342285,1,2963
0.09848856925964355,1,2967
0.09890270233154297,0,2942
0.09982919692993164,1,2931
0.10013866424560547,1,2923
0.10051393508911133,0,2960
0.1015160083770752,1,2939
0.10178446769714355,1,2957
0.10249638557434082,1,2933
0.10349559783935547,1,2961
0.10390305519104004,1,2967
0.10440635681152344,0,2968
0.10462665557861328,0,2966
0.10554170608520508,0,2966
0.10592913627624512,0,2942
0.10650253295898438,0,2930
0.10750317573547363,1,2959
0.10790824890136719,0,2942
0.10890579223632812,1,2925
0.1094062328338623,0,2928
0.10961651802062988,1,2959
0.11051368713378906,1,2955
0.11095404624938965,1,2961
0.11150193214416504,0,2966
0.11249089241027832,1,2963
0.11290836334228516,0,2966
0.11348485946655273,1,2943
0.11441874504089355,0,2960
0.11465597152709961,0,2940
0.11493444442749023,1,2963
0.11600422859191895,1,2939
0.11652469635009766,1,2927
0.116943359375,1,2955
0.11791467666625977,0,2960
0.11847758293151855,1,2955
0.11940646171569824,1,2959
0.11960840225219727,1,2971
0.11993527412414551,0,2974
0.12050747871398926,1,2971
0.12153768539428711,1,2945
