time,bit,reading
0.00043511390686035156,1,3383
0.0009164810180664062,0,3362
0.0011515617370605469,1,3355
0.0019316673278808594,1,3387
0.0022253990173339844,1,3383
0.0026099681854248047,0,3384
0.0036058425903320312,1,3383
0.004012107849121094,1,3359
0.0045931339263916016,1,3353
0.005579710006713867,1,3389
0.0060083866119384766,1,3367
0.0065097808837890625,1,3351
0.006871700286865234,1,3347
0.007619380950927734,1,3381
0.008022785186767578,0,3372
0.008630037307739258,0,3378
0.00959157943725586,0,3386
0.010004043579101562,1,3387
0.010995626449584961,0,3390
0.011514902114868164,1,3383
0.01182246208190918,0,3358
0.012620210647583008,0,3352
0.01302790641784668,1,3383
0.01361846923828125,0,3362
0.014597654342651367,1,3345
0.014999628067016602,0,3378
0.015583515167236328,1,3385
0.01650834083557129,0,3376
0.016789674758911133,1,3387
0.017084598541259766,0,3386
0.018047094345092773,0,3386
0.018609285354614258,1,3389
0.019596338272094727,1,3391
0.019880056381225586,0,3382
0.02057957649230957,1,3359
0.021505117416381836,1,3353
0.021715402603149414,0,3382
0.022026538848876953,1,3387
0.022646665573120117,1,3383
0.02361774444580078,1,3387
0.02403712272644043,0,3376
0.024590015411376953,1,3387
0.025583267211914062,0,3386
0.025923490524291992,1,3361
0.02624058723449707,0,3382
0.02703714370727539,1,3389
0.027613401412963867,1,3363
0.02861189842224121,0,3348
0.029041051864624023,1,3343
0.029600143432617188,1,3337
0.03059077262878418,0,3338
0.030930757522583008,1,3371
0.031223297119140625,1,3387
0.031626224517822266,1,3383
0.03262019157409668,0,3386
0.03302574157714844,1,3385
0.03361845016479492,0,3364
0.03461170196533203,0,3384
0.0350186824798584,1,3361
0.03594565391540527,0,3352
0.03630352020263672,0,3346
0.036666154861450195,1,3347
0.03762054443359375,0,3364
0.038019418716430664,1,3385
0.03859305381774902,1,3383
0.03959941864013672,0,3390
0.040000200271606445,1,3389
0.04052114486694336,1,3383
0.04083585739135742,1,3387
0.04164552688598633,1,3365
0.04202389717102051,0,3380
0.04301571846008301,1,3357
0.04358983039855957,1,3345
0.044626712799072266,1,3379
0.04491615295410156,1,3359
0.045514583587646484,0,3372
0.045816659927368164,1,3383
0.04662656784057617,0,3386
0.04706716537475586,0,3384
0.04762077331542969,1,3387
0.0485990047454834,0,3384
0.049004554748535156,1,3389
0.04958224296569824,0,3362
0.05052018165588379,0,3354
0.05092191696166992,1,3387
0.05118083953857422,0,3364
0.05203866958618164,1,3379
0.052614688873291016,1,3363
0.053609371185302734,0,3370
0.0540013313293457,1,3381
0.054581642150878906,1,3387
0.05550384521484375,1,3385
0.055698394775390625,0,3390
0.05604410171508789,0,3390
0.056609153747558594,1,3387
0.057624101638793945,0,3362
0.05802273750305176,1,3353
0.058609724044799805,0,3380
0.05958294868469238,1,3357
0.05993151664733887,1,3379
0.06015825271606445,1,3353
0.0610349178314209,0,3388
0.061617374420166016,0,3386
0.06262040138244629,0,3384
0.06302475929260254,0,3382
0.06359052658081055,1,3383
0.06458592414855957,0,3384
0.06493115425109863,0,3362
0.06515383720397949,0,3348
0.06563401222229004,1,3345
0.06661438941955566,1,3381
0.06705212593078613,1,3363
0.06802964210510254,0,3380
0.06859064102172852,1,3357
0.06958460807800293,0,3390
0.06988191604614258,1,3387
0.07013583183288574,1,3387
0.07062125205993652,1,3389
0.0716085433959961,0,3386
0.0720210075378418,1,3365
0.0726327896118164,0,3356
0.07360029220581055,0,3380
0.07400274276733398,1,3359
0.07451748847961426,0,3350
0.0748131275177002,1,3341
0.07562470436096191,0,3380
0.07603120803833008,1,3375
0.07702422142028809,1,3385
0.07760834693908691,0,3390
0.07859301567077637,0,3384
0.07900691032409668,0,3390
0.07952260971069336,0,3366
0.07986998558044434,0,3390
0.08064842224121094,0,3358
0.08104634284973145,0,3382
0.08160400390625,1,3359
0.08260440826416016,0,3346
0.08300328254699707,0,3382
0.08358645439147949,0,3386
0.0845193862915039,1,3379
0.08491802215576172,0,3386
0.08523821830749512,1,3389
0.08605551719665527,0,3384
0.08663535118103027,0,3386
0.08759140968322754,1,3359
0.08800363540649414,1,3385
0.08858251571655273,0,3368
0.08952093124389648,1,3387
0.08980417251586914,0,3370
0.09004569053649902,0,3350
0.09062027931213379,0,3376
0.091644287109375,1,3387
0.09203267097473145,0,3372
0.09300827980041504,0,3384
0.0935828685760498,0,3388
0.09450602531433105,1,3361
0.09476661682128906,1,3387
0.09507155418395996,1,3363
0.09564352035522461,0,3384
0.09660696983337402,1,3363
0.09701418876647949,1,3387
0.0975942611694336,0,3358
0.0985867977142334,1,3351
0.09893941879272461,1,3381
0.09917354583740234,0,3388
0.09962010383605957,1,3389
0.10062623023986816,1,3391
0.10102510452270508,0,3366
0.10203027725219727,1,3353
0.10259246826171875,0,3384
0.1035919189453125,0,3360
0.10393452644348145,1,3353
0.10416340827941895,0,3350
0.10462093353271484,1,3385
0.10561156272888184,0,3378
0.10603022575378418,1,3385
0.10663008689880371,0,3386
0.10759186744689941,1,3387
